id,Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
2091,Daily Digest,Episode 33,56.05,News,60.86,Thursday,Evening,12.84,2.0,Positive,23.71495
2092,Fashion Forward,Episode 89,23.88,Lifestyle,74.33,Thursday,Afternoon,41.6,0.0,Negative,8.59205
2093,Sports Weekly,Episode 27,113.67,Sports,28.29,Thursday,Morning,,1.0,Negative,100.99786
2094,Laugh Line,Episode 69,53.4,Comedy,47.36,Friday,Afternoon,91.6,0.0,Neutral,34.59034
2095,Digital Digest,Episode 35,26.59,Technology,38.73,Friday,Afternoon,17.47,1.0,Neutral,22.72179
2096,Fitness First,Episode 23,16.75,Health,91.29,Tuesday,Night,31.03,0.0,Positive,6.32344
2097,Market Masters,Episode 9,44.44,Business,39.53,Sunday,Evening,68.08,3.0,Neutral,16.07745
2098,Comedy Corner,Episode 80,105.47,Comedy,94.97,Friday,Afternoon,9.35,1.0,Neutral,80.61696
2099,Money Matters,Episode 17,37.94,Business,25.25,Monday,Afternoon,18.25,1.0,Negative,32.81225
2100,Joke Junction,Episode 85,85.37,Comedy,81.93,Wednesday,Evening,92.9,0.0,Negative,53.02723
2101,Finance Focus,Episode 2,95.32,Business,50.32,Wednesday,Night,47.38,3.0,Neutral,82.59165
2102,Melody Mix,Episode 84,116.64,Music,63.65,Wednesday,Morning,79.75,3.0,Negative,55.26966
2103,Game Day,Episode 27,103.52,Sports,37.84,Friday,Night,72.53,2.0,Neutral,92.88294
2104,Athlete's Arena,Episode 17,90.5,Sports,53.66,Thursday,Night,93.7,1.0,Neutral,71.52019
2105,Comedy Corner,Episode 65,58.7,Comedy,31.94,Monday,Evening,,1.0,Neutral,41.27596
2106,Athlete's Arena,Episode 10,31.85,Sports,79.65,Monday,Afternoon,7.09,1.0,Neutral,17.86354
2107,Crime Chronicles,Episode 36,59.24,True Crime,33.67,Friday,Afternoon,,1.0,Negative,43.69325
2108,Tech Trends,Episode 71,73.69,Technology,53.1,Thursday,Evening,,1.0,Positive,38.63917
2109,Mind & Body,Episode 72,85.54,Health,82.49,Tuesday,Night,72.76,1.0,Negative,48.65257
2110,Game Day,Episode 98,13.11,Sports,21.94,Tuesday,Night,67.14,2.0,Neutral,0.48394
2111,Fashion Forward,Episode 29,52.01,Lifestyle,80.42,Sunday,Morning,29.35,1.0,Neutral,38.08999
2112,Life Lessons,Episode 67,26.27,Lifestyle,80.42,Sunday,Evening,,1.0,Positive,15.15
2113,Lifestyle Lounge,Episode 96,,Lifestyle,62.87,Sunday,Night,29.66,1.0,Neutral,65.77273
2114,Style Guide,Episode 69,31.0,Lifestyle,93.29,Saturday,Night,92.09,1.0,Negative,27.13344
2115,Health Hour,Episode 45,57.81,Health,82.78,Tuesday,Afternoon,36.78,1.0,Positive,46.86861
2116,Business Insights,Episode 53,114.13,Business,82.89,Wednesday,Afternoon,74.03,1.0,Negative,72.26984
2117,Current Affairs,Episode 55,91.95,News,30.47,Wednesday,Evening,71.29,1.0,Positive,86.61992
2118,Melody Mix,Episode 6,27.41,Music,90.63,Sunday,Morning,43.85,0.0,Neutral,19.9995
2119,Market Masters,Episode 23,32.73,Business,24.0,Monday,Afternoon,84.07,0.0,Negative,18.72721
2120,Daily Digest,Episode 55,98.18,News,85.35,Wednesday,Morning,56.33,1.0,Positive,50.37089
2121,True Crime Stories,Episode 62,115.37,True Crime,33.14,Friday,Evening,33.85,0.0,Negative,109.84
2122,News Roundup,Episode 96,86.33,News,61.18,Wednesday,Morning,,0.0,Negative,65.89126
2123,Mystery Matters,Episode 69,109.66,True Crime,63.63,Wednesday,Evening,54.15,0.0,Negative,76.04322
2124,News Roundup,Episode 54,69.26,News,55.17,Saturday,Night,22.17,0.0,Negative,23.64892
2125,Comedy Corner,Episode 44,94.77,Comedy,61.03,Tuesday,Night,19.34,1.0,Positive,65.5442
2126,Laugh Line,Episode 5,87.86,Comedy,68.33,Tuesday,Night,22.6,0.0,Neutral,79.44153
2127,Funny Folks,Episode 86,88.63,Comedy,77.92,Tuesday,Night,86.63,1.0,Negative,65.12942
2128,Athlete's Arena,Episode 91,,Sports,27.7,Monday,Evening,7.44,0.0,Neutral,40.12946
2129,Daily Digest,Episode 72,19.39,News,89.7,Saturday,Evening,39.52,3.0,Negative,13.69786
2130,Mystery Matters,Episode 70,111.22,True Crime,50.18,Wednesday,Afternoon,12.56,2.0,Neutral,86.62137
2131,Mystery Matters,Episode 72,54.22,True Crime,54.48,Sunday,Morning,91.41,3.0,Neutral,33.30356
2132,Style Guide,Episode 47,,Lifestyle,40.82,Saturday,Night,25.85,0.0,Negative,64.24707
2133,Sport Spot,Episode 27,69.74,Sports,32.45,Thursday,Evening,,0.0,Neutral,36.07906
2134,Innovators,Episode 79,,Technology,95.13,Friday,Night,38.85,0.0,Positive,30.43374
2135,Learning Lab,Episode 80,52.02,Education,27.22,Saturday,Afternoon,78.31,1.0,Positive,38.39487
2136,Mind & Body,Episode 9,23.74,Health,71.37,Wednesday,Night,,0.0,Negative,20.9176
2137,Gadget Geek,Episode 98,74.95,Technology,53.37,Friday,Night,73.24,2.0,Negative,45.283
2138,Comedy Corner,Episode 11,9.58,Comedy,30.27,Sunday,Night,7.94,2.0,Negative,1.43147
2139,Healthy Living,Episode 84,65.67,Health,27.23,Sunday,Evening,71.24,2.0,Negative,36.19
2140,Mystery Matters,Episode 70,105.76,True Crime,28.3,Monday,Night,,0.0,Positive,87.83743
2141,Study Sessions,Episode 46,47.27,Education,22.49,Saturday,Night,,0.0,Negative,36.93558
2142,Tune Time,Episode 75,,Music,45.89,Friday,Evening,49.07,1.0,Positive,44.27592
2143,Current Affairs,Episode 35,,News,48.43,Saturday,Evening,3.48,3.0,Neutral,15.42175
2144,Brain Boost,Episode 98,40.4,Education,32.89,Monday,Afternoon,29.12,3.0,Positive,29.78697
2145,Style Guide,Episode 76,112.7,Lifestyle,36.2,Monday,Afternoon,99.56,3.0,Negative,84.72814
2146,Current Affairs,Episode 85,92.54,News,50.29,Sunday,Afternoon,6.08,1.0,Neutral,76.22833
2147,Brain Boost,Episode 34,17.11,Technology,80.86,Thursday,Evening,36.26,3.0,Positive,2.8757
2148,Life Lessons,Episode 71,119.27,Lifestyle,62.69,Thursday,Evening,77.51,0.0,Neutral,92.92012
2149,Wellness Wave,Episode 90,32.42,Health,86.59,Tuesday,Night,90.61,0.0,Negative,20.20244
2150,Game Day,Episode 11,24.08,Sports,27.69,Thursday,Night,31.11,1.0,Positive,12.86
2151,Money Matters,Episode 74,114.29,Business,75.88,Friday,Afternoon,44.78,0.0,Neutral,108.84572
2152,Home & Living,Episode 52,52.15,Lifestyle,36.39,Saturday,Night,2.91,2.0,Positive,24.61611
2153,Innovators,Episode 60,94.45,Technology,23.17,Sunday,Night,,2.0,Neutral,81.48673
2154,Digital Digest,Episode 71,31.85,Technology,38.35,Sunday,Morning,51.33,3.0,Neutral,15.35489
2155,Life Lessons,Episode 59,85.46,Lifestyle,23.91,Tuesday,Afternoon,80.32,1.0,Negative,74.28792
2156,Learning Lab,Episode 82,36.28,Education,57.08,Monday,Night,59.01,3.0,Negative,18.28433
2157,Healthy Living,Episode 52,92.85,Health,28.37,Tuesday,Evening,69.57,0.0,Negative,65.61414
2158,Finance Focus,Episode 96,8.66,Business,56.92,Thursday,Evening,23.51,1.0,Neutral,8.34834
2159,Business Insights,Episode 100,87.66,Business,40.3,Sunday,Afternoon,,3.0,Positive,55.53372
2160,Athlete's Arena,Episode 100,59.07,Sports,89.96,Monday,Afternoon,,3.0,Positive,27.86296
2161,Gadget Geek,Episode 29,102.06,Technology,29.29,Wednesday,Afternoon,55.58,0.0,Negative,95.00158
2162,Life Lessons,Episode 94,22.17,Lifestyle,88.5,Saturday,Afternoon,75.5,0.0,Negative,20.74691
2163,Life Lessons,Episode 74,52.48,Lifestyle,84.03,Sunday,Morning,82.75,1.0,Negative,49.33647
2164,Business Briefs,Episode 29,77.04,Business,82.51,Tuesday,Afternoon,,0.0,Negative,74.5771
2165,Humor Hub,Episode 70,10.28,Comedy,53.46,Wednesday,Night,73.44,3.0,Positive,3.15395
2166,Healthy Living,Episode 98,49.42,Health,49.7,Sunday,Afternoon,48.37,3.0,Positive,28.01828
2167,Sports Central,Episode 93,88.44,Sports,93.8,Friday,Afternoon,,1.0,Negative,76.56687
2168,Detective Diaries,Episode 63,107.65,True Crime,59.65,Saturday,Morning,9.59,0.0,Neutral,78.16221
2169,Mystery Matters,Episode 81,119.76,True Crime,34.5,Thursday,Night,,3.0,Neutral,67.83913
2170,Melody Mix,Episode 75,25.41,Music,49.7,Tuesday,Night,66.48,1.0,Negative,9.29289
2171,Digital Digest,Episode 89,,Technology,92.13,Wednesday,Evening,,2.0,Negative,40.93451
2172,Sports Weekly,Episode 81,,Sports,85.75,Saturday,Morning,77.44,3.0,Positive,55.56808
2173,Athlete's Arena,Episode 4,113.42,Sports,39.54,Friday,Night,84.84,3.0,Positive,73.93247
2174,Current Affairs,Episode 80,33.93,News,90.25,Monday,Morning,33.48,1.0,Neutral,30.4892
2175,Criminal Minds,Episode 78,59.12,True Crime,75.38,Wednesday,Evening,78.08,0.0,Negative,50.56338
2176,Fitness First,Episode 33,10.51,Health,60.31,Sunday,Evening,78.48,0.0,Negative,1.73233
2177,Tech Talks,Episode 78,66.32,Technology,39.16,Saturday,Evening,61.3,1.0,Negative,29.63904
2178,Joke Junction,Episode 61,56.47,Comedy,62.86,Monday,Evening,62.54,0.0,Positive,23.61634
2179,Fitness First,Episode 5,,Health,33.44,Friday,Morning,53.88,2.0,Negative,86.53846
2180,Tech Trends,Episode 51,51.53,Technology,45.88,Saturday,Morning,,1.0,Neutral,35.99047
2181,Laugh Line,Episode 74,,Comedy,54.56,Sunday,Evening,24.47,3.0,Positive,0.10329
2182,Study Sessions,Episode 52,41.22,Education,62.11,Monday,Night,33.61,3.0,Negative,27.54641
2183,Style Guide,Episode 27,81.81,Lifestyle,81.52,Thursday,Night,36.93,2.0,Neutral,54.52628
2184,Melody Mix,Episode 45,70.35,Music,40.35,Wednesday,Afternoon,38.71,2.0,Positive,63.86654
2185,Tech Talks,Episode 96,93.18,Technology,52.86,Monday,Night,,1.0,Positive,86.67743
2186,Criminal Minds,Episode 10,104.81,True Crime,36.27,Wednesday,Evening,95.1,1.0,Negative,73.40839
2187,Life Lessons,Episode 85,,Lifestyle,63.78,Wednesday,Night,,0.0,Negative,61.8851
2188,Detective Diaries,Episode 92,79.01,True Crime,97.95,Friday,Evening,,0.0,Neutral,70.37898
2189,Mystery Matters,Episode 86,46.41,True Crime,24.15,Thursday,Evening,,1.0,Positive,28.01738
2190,Sports Weekly,Episode 38,30.57,Sports,78.16,Thursday,Night,83.98,1.0,Negative,14.35
2191,Innovators,Episode 23,,Technology,45.01,Wednesday,Evening,18.3,3.0,Negative,3.85812
2192,Health Hour,Episode 84,31.03,Health,23.0,Sunday,Morning,57.61,1.0,Negative,15.14
2193,Mystery Matters,Episode 31,118.04,True Crime,87.68,Friday,Evening,60.39,1.0,Negative,107.54068
2194,Detective Diaries,Episode 13,89.33,True Crime,72.94,Wednesday,Morning,66.59,1.0,Neutral,47.0845
2195,Wellness Wave,Episode 77,79.69,Health,83.17,Friday,Afternoon,42.54,1.0,Negative,59.76983
2196,Home & Living,Episode 57,60.64,Lifestyle,55.86,Monday,Morning,36.64,1.0,Neutral,46.3237
2197,Mystery Matters,Episode 23,48.93,True Crime,52.84,Friday,Evening,65.84,0.0,Neutral,35.30998
2198,Fashion Forward,Episode 95,117.06,Lifestyle,81.55,Tuesday,Evening,,0.0,Positive,99.64679
2199,Fitness First,Episode 7,14.46,Health,31.14,Sunday,Night,36.69,0.0,Neutral,12.12361
2200,Game Day,Episode 99,13.99,Sports,90.62,Tuesday,Morning,,3.0,Negative,8.92605
2201,Daily Digest,Episode 85,107.0,News,63.76,Thursday,Afternoon,,1.0,Positive,75.9
2202,Learning Lab,Episode 40,53.72,Education,22.95,Monday,Evening,95.45,1.0,Negative,38.01
2203,Criminal Minds,Episode 74,91.05,True Crime,26.26,Saturday,Evening,91.57,3.0,Negative,82.03
2204,Mystery Matters,Episode 61,22.79,True Crime,36.57,Monday,Afternoon,69.61,3.0,Negative,15.18534
2205,Finance Focus,Episode 80,84.81,Business,79.76,Tuesday,Night,65.98,0.0,Negative,73.19937
2206,Tech Talks,Episode 59,116.16,Technology,83.69,Saturday,Night,21.79,3.0,Negative,74.23284
2207,Study Sessions,Episode 29,24.72,Education,58.42,Tuesday,Afternoon,48.73,1.0,Positive,20.73
2208,Style Guide,Episode 56,32.57,Lifestyle,82.54,Friday,Afternoon,88.57,2.0,Negative,14.1
2209,Tech Talks,Episode 56,94.87,Technology,24.93,Sunday,Morning,,2.0,Negative,80.95153
2210,Style Guide,Episode 42,90.69,Lifestyle,62.16,Saturday,Evening,,0.0,Neutral,61.10579
2211,Educational Nuggets,Episode 57,20.32,Education,82.51,Monday,Evening,54.36,2.0,Negative,17.37723
2212,Laugh Line,Episode 96,66.0,Comedy,42.7,Tuesday,Night,88.2,2.0,Negative,53.1306
2213,Gadget Geek,Episode 88,47.0,Technology,69.57,Saturday,Evening,52.65,3.0,Positive,19.8199
2214,Criminal Minds,Episode 75,41.88,True Crime,64.52,Saturday,Morning,97.29,3.0,Negative,15.90704
2215,Business Briefs,Episode 71,113.41,Business,84.49,Wednesday,Afternoon,70.69,3.0,Positive,110.57587
2216,Game Day,Episode 67,10.17,Sports,45.11,Sunday,Evening,47.72,0.0,Positive,6.0991
2217,True Crime Stories,Episode 64,34.4,True Crime,69.53,Monday,Night,9.54,2.0,Neutral,21.65
2218,Sport Spot,Episode 64,51.34,Sports,33.66,Monday,Evening,55.57,0.0,Neutral,38.02969
2219,Digital Digest,Episode 91,109.1,Technology,70.11,Wednesday,Evening,41.14,2.0,Positive,91.26235
2220,Laugh Line,Episode 39,6.51,Comedy,96.94,Wednesday,Evening,,1.0,Negative,0.0
2221,Mystery Matters,Episode 1,55.1,True Crime,68.79,Sunday,Afternoon,6.29,1.0,Positive,35.76254
2222,Educational Nuggets,Episode 91,79.41,Education,44.62,Saturday,Morning,53.26,3.0,Neutral,59.15748
2223,Style Guide,Episode 19,31.28,Lifestyle,78.97,Tuesday,Night,81.73,1.0,Neutral,12.95
2224,Life Lessons,Episode 87,,Lifestyle,80.97,Saturday,Night,91.75,0.0,Neutral,6.16243
2225,Detective Diaries,Episode 48,24.31,True Crime,78.84,Tuesday,Afternoon,93.19,1.0,Positive,18.51486
2226,Global News,Episode 32,,News,34.05,Wednesday,Morning,86.01,0.0,Neutral,0.0
2227,Fitness First,Episode 99,36.12,Health,75.44,Monday,Evening,22.99,2.0,Negative,24.57009
2228,Sports Weekly,Episode 19,,Sports,95.24,Monday,Morning,7.98,2.0,Neutral,25.16229
2229,Tech Talks,Episode 6,68.42,Technology,48.76,Saturday,Afternoon,3.76,2.0,Negative,60.92988
2230,Lifestyle Lounge,Episode 6,78.27,Lifestyle,30.56,Monday,Night,8.36,2.0,Neutral,55.34272
2231,Innovators,Episode 59,48.65,Technology,67.37,Tuesday,Night,78.37,3.0,Negative,36.17289
2232,Current Affairs,Episode 88,,News,22.37,Thursday,Morning,59.0,1.0,Positive,71.92914
2233,Crime Chronicles,Episode 17,80.14,True Crime,92.85,Tuesday,Evening,,3.0,Neutral,52.75739
2234,Humor Hub,Episode 62,109.25,Comedy,62.41,Friday,Night,28.19,1.0,Negative,69.84618
2235,Joke Junction,Episode 16,76.43,Comedy,48.62,Thursday,Night,93.62,3.0,Positive,43.30212
2236,Innovators,Episode 83,,Technology,64.39,Monday,Evening,46.17,1.0,Negative,66.54275
2237,Market Masters,Episode 10,102.95,Business,95.13,Wednesday,Night,84.67,0.0,Negative,100.47923
2238,Detective Diaries,Episode 75,97.36,True Crime,52.47,Friday,Evening,6.77,0.0,Negative,64.57079
2239,Style Guide,Episode 78,7.43,Lifestyle,45.33,Friday,Afternoon,,3.0,Neutral,0.0
2240,News Roundup,Episode 86,33.36,News,91.0,Saturday,Morning,,0.0,Neutral,21.06827
2241,Fitness First,Episode 4,47.95,Health,29.79,Wednesday,Morning,3.28,3.0,Positive,23.00429
2242,Criminal Minds,Episode 44,86.11,True Crime,87.76,Monday,Afternoon,91.48,1.0,Neutral,56.07642
2243,Detective Diaries,Episode 100,87.87,True Crime,87.54,Sunday,Evening,,1.0,Positive,65.89964
2244,Athlete's Arena,Episode 17,6.33,Sports,62.27,Saturday,Afternoon,,0.0,Neutral,0.0
2245,Sports Central,Episode 79,91.59,Sports,68.2,Sunday,Evening,9.98,1.0,Neutral,62.77572
2246,Tune Time,Episode 48,50.24,Music,75.78,Saturday,Afternoon,15.41,1.0,Neutral,36.85838
2247,Lifestyle Lounge,Episode 2,67.73,Lifestyle,83.21,Tuesday,Afternoon,24.59,2.0,Negative,47.68374
2248,True Crime Stories,Episode 78,7.03,True Crime,78.4,Thursday,Afternoon,90.83,2.0,Neutral,1.45259
2249,Business Insights,Episode 10,23.61,Business,99.07,Friday,Morning,79.93,2.0,Neutral,13.71518
2250,Tech Trends,Episode 70,56.05,Technology,24.5,Sunday,Morning,,1.0,Neutral,39.09667
2251,Tech Talks,Episode 71,32.44,Technology,63.08,Wednesday,Evening,,2.0,Negative,22.09829
2252,Mystery Matters,Episode 25,95.08,True Crime,66.82,Sunday,Evening,59.27,1.0,Neutral,76.22936
2253,Business Insights,Episode 36,55.36,Business,30.51,Monday,Night,70.45,0.0,Negative,41.79061
2254,Lifestyle Lounge,Episode 42,97.86,Lifestyle,77.48,Thursday,Afternoon,68.52,3.0,Neutral,74.55061
2255,Melody Mix,Episode 23,37.86,Music,42.01,Thursday,Morning,45.82,2.0,Neutral,19.80948
2256,Sound Waves,Episode 67,8.93,Music,36.83,Sunday,Afternoon,74.04,2.0,Negative,5.6418
2257,Lifestyle Lounge,Episode 89,48.1,Lifestyle,60.23,Wednesday,Morning,91.86,3.0,Positive,21.18871
2258,Style Guide,Episode 58,39.32,Lifestyle,91.91,Saturday,Night,,2.0,Negative,30.62815
2259,Melody Mix,Episode 29,70.47,Music,42.12,Sunday,Night,70.64,2.0,Negative,41.38725
2260,Laugh Line,Episode 84,36.58,Comedy,28.68,Wednesday,Night,97.92,0.0,Negative,23.61914
2261,Sport Spot,Episode 29,119.71,Sports,57.41,Saturday,Evening,10.48,0.0,Positive,93.97663
2262,Life Lessons,Episode 60,112.97,Lifestyle,30.12,Friday,Afternoon,78.73,0.0,Negative,47.62367
2263,Current Affairs,Episode 78,94.17,News,93.57,Friday,Morning,,0.0,Positive,84.39976
2264,Joke Junction,Episode 11,20.7,Comedy,27.07,Thursday,Night,28.01,1.0,Positive,4.05344
2265,Lifestyle Lounge,Episode 42,85.82,Lifestyle,64.35,Saturday,Evening,94.0,0.0,Positive,60.60871
2266,Brain Boost,Episode 69,64.34,Education,58.26,Sunday,Morning,83.44,2.0,Positive,47.38231
2267,Business Briefs,Episode 23,113.91,Business,43.11,Saturday,Morning,43.26,1.0,Neutral,108.99652
2268,Melody Mix,Episode 21,46.2,Music,52.38,Thursday,Morning,67.64,2.0,Negative,40.38621
2269,Style Guide,Episode 8,99.7,Lifestyle,43.83,Monday,Afternoon,,0.0,Negative,78.11359
2270,Sports Weekly,Episode 98,22.52,Sports,22.37,Monday,Morning,23.81,0.0,Neutral,14.87141
2271,Money Matters,Episode 81,,Business,46.83,Friday,Night,52.53,0.0,Neutral,36.29789
2272,Global News,Episode 12,,News,74.51,Friday,Afternoon,65.61,0.0,Negative,52.43087
2273,Mystery Matters,Episode 31,57.0,True Crime,56.15,Wednesday,Morning,33.83,1.0,Positive,51.38411
2274,Fashion Forward,Episode 88,108.75,Lifestyle,66.75,Wednesday,Evening,0.69,0.0,Neutral,58.4662
2275,Wellness Wave,Episode 19,17.31,Health,47.5,Thursday,Evening,94.7,0.0,Negative,11.11079
2276,Brain Boost,Episode 95,14.53,Education,45.52,Friday,Morning,80.86,1.0,Neutral,5.23888
2277,Life Lessons,Episode 94,30.81,Lifestyle,73.61,Monday,Morning,42.66,0.0,Negative,13.0614
2278,Athlete's Arena,Episode 65,39.47,Sports,27.6,Monday,Afternoon,1.82,0.0,Positive,22.45302
2279,Sports Central,Episode 46,,Sports,33.47,Saturday,Evening,11.47,0.0,Negative,19.20478
2280,Innovators,Episode 48,74.44,Technology,33.77,Tuesday,Evening,,2.0,Positive,37.98486
2281,Fitness First,Episode 31,48.39,Health,68.87,Thursday,Night,92.21,3.0,Positive,26.20203
2282,Tech Talks,Episode 61,16.08,Technology,64.59,Friday,Morning,71.34,3.0,Positive,8.3644
2283,Finance Focus,Episode 2,87.26,Business,69.25,Friday,Evening,30.25,1.0,Neutral,75.15288
2284,Lifestyle Lounge,Episode 19,99.24,Lifestyle,93.47,Thursday,Evening,59.14,0.0,Positive,61.48278
2285,Home & Living,Episode 81,34.57,Lifestyle,61.45,Sunday,Evening,93.59,1.0,Negative,23.75192
2286,Criminal Minds,Episode 16,26.48,True Crime,48.67,Wednesday,Night,23.29,2.0,Positive,20.21248
2287,Sports Weekly,Episode 53,32.34,Sports,87.34,Tuesday,Morning,9.78,0.0,Neutral,31.71621
2288,Mystery Matters,Episode 64,,True Crime,64.54,Saturday,Night,34.95,3.0,Neutral,12.92198
2289,Home & Living,Episode 89,37.6,Lifestyle,97.82,Thursday,Evening,89.82,3.0,Positive,25.89906
2290,Game Day,Episode 8,37.02,Sports,55.71,Sunday,Night,4.15,2.0,Negative,35.772
2291,Business Briefs,Episode 46,12.08,Business,76.69,Wednesday,Morning,46.75,3.0,Negative,2.69715
2292,Educational Nuggets,Episode 38,14.47,Education,87.37,Monday,Evening,5.4,1.0,Positive,5.91984
2293,Mind & Body,Episode 81,17.51,Health,59.52,Monday,Morning,33.07,3.0,Negative,6.10408
2294,Sport Spot,Episode 58,31.23,Sports,88.56,Friday,Night,56.67,0.0,Positive,23.28
2295,Game Day,Episode 78,49.92,Sports,54.29,Saturday,Morning,65.07,0.0,Neutral,39.98744
2296,Lifestyle Lounge,Episode 98,118.03,Lifestyle,90.54,Thursday,Evening,34.57,3.0,Negative,119.66
2297,Sports Weekly,Episode 78,25.01,Sports,54.19,Thursday,Morning,,1.0,Neutral,14.4444
2298,Healthy Living,Episode 10,114.72,Health,97.69,Friday,Evening,83.28,3.0,Negative,71.5638
2299,Daily Digest,Episode 61,34.36,News,87.48,Tuesday,Night,44.42,3.0,Negative,9.55707
2300,News Roundup,Episode 95,,News,87.89,Sunday,Afternoon,62.94,0.0,Neutral,84.75179
2301,Global News,Episode 2,43.04,News,70.9,Monday,Night,35.37,0.0,Neutral,29.84288
2302,Lifestyle Lounge,Episode 22,97.99,Lifestyle,55.73,Sunday,Morning,80.09,0.0,Positive,84.50119
2303,Healthy Living,Episode 77,,Health,43.64,Monday,Afternoon,77.66,0.0,Neutral,92.08703
2304,Study Sessions,Episode 50,107.2,Education,62.87,Monday,Evening,27.2,1.0,Neutral,88.77352
2305,Market Masters,Episode 4,64.3,Business,88.24,Wednesday,Afternoon,61.73,2.0,Positive,35.82945
2306,Tech Trends,Episode 69,18.32,Technology,78.59,Friday,Night,65.11,1.0,Positive,12.43
2307,True Crime Stories,Episode 79,117.43,True Crime,28.49,Saturday,Night,39.67,3.0,Negative,73.73406
2308,Tune Time,Episode 83,,Music,64.68,Friday,Evening,70.1,0.0,Neutral,108.54079
2309,Athlete's Arena,Episode 3,16.38,Sports,35.79,Sunday,Morning,35.58,3.0,Positive,8.46265
2310,Funny Folks,Episode 18,74.23,Comedy,23.23,Monday,Night,62.1,1.0,Negative,59.9079
2311,Sports Central,Episode 18,41.65,Sports,78.09,Thursday,Afternoon,67.65,3.0,Negative,26.96262
2312,Health Hour,Episode 81,22.23,Health,21.84,Saturday,Morning,26.44,1.0,Negative,21.3095
2313,Gadget Geek,Episode 40,14.47,Technology,28.79,Tuesday,Afternoon,82.29,1.0,Neutral,8.90176
2314,Sports Weekly,Episode 77,116.68,Sports,98.11,Sunday,Evening,69.68,2.0,Neutral,115.36331
2315,Home & Living,Episode 63,17.3,Lifestyle,67.73,Sunday,Evening,79.76,3.0,Positive,14.42018
2316,Humor Hub,Episode 55,,Comedy,31.59,Tuesday,Evening,84.54,0.0,Negative,46.33267
2317,Business Briefs,Episode 32,104.65,Business,58.3,Thursday,Afternoon,21.82,0.0,Positive,73.04799
2318,Daily Digest,Episode 74,31.92,News,70.4,Tuesday,Evening,48.71,2.0,Neutral,27.10969
2319,Life Lessons,Episode 39,114.31,Lifestyle,35.15,Monday,Morning,75.6,2.0,Neutral,80.97984
2320,Joke Junction,Episode 97,67.49,Comedy,50.78,Sunday,Night,96.65,0.0,Negative,48.88102
2321,Digital Digest,Episode 47,,Technology,26.47,Monday,Afternoon,97.66,3.0,Negative,21.45
2322,Funny Folks,Episode 52,61.44,Comedy,29.33,Saturday,Afternoon,68.79,3.0,Negative,34.28682
2323,Laugh Line,Episode 40,,Comedy,47.01,Tuesday,Night,,0.0,Positive,48.16478
2324,Life Lessons,Episode 81,55.01,Lifestyle,96.81,Wednesday,Evening,83.93,0.0,Negative,45.46242
2325,World Watch,Episode 15,50.68,News,78.07,Saturday,Evening,87.45,0.0,Negative,33.98372
2326,Health Hour,Episode 34,51.55,Health,60.49,Friday,Night,62.55,1.0,Neutral,30.18619
2327,Style Guide,Episode 25,110.08,Lifestyle,47.72,Friday,Morning,55.92,2.0,Positive,49.74507
2328,Finance Focus,Episode 30,54.34,Business,55.37,Thursday,Afternoon,86.06,1.0,Negative,42.92056
2329,Sports Central,Episode 15,106.41,Sports,73.77,Friday,Night,51.03,0.0,Neutral,51.96999
2330,Tech Trends,Episode 88,64.69,Technology,43.19,Saturday,Morning,,2.0,Neutral,49.6818
2331,Sports Weekly,Episode 65,18.68,Sports,81.08,Friday,Morning,83.55,0.0,Positive,11.40642
2332,Study Sessions,Episode 65,,Education,91.41,Monday,Afternoon,69.31,1.0,Negative,119.22
2333,Money Matters,Episode 75,116.85,Business,68.55,Monday,Night,5.55,0.0,Neutral,111.93949
2334,Educational Nuggets,Episode 28,72.45,Education,63.86,Monday,Afternoon,31.71,1.0,Neutral,52.23302
2335,Criminal Minds,Episode 24,,True Crime,88.72,Sunday,Night,4.59,1.0,Negative,29.25
2336,Tech Trends,Episode 62,69.51,Technology,98.11,Saturday,Afternoon,,2.0,Negative,48.38
2337,Joke Junction,Episode 33,62.56,Comedy,44.19,Thursday,Night,5.09,0.0,Negative,40.27
2338,Criminal Minds,Episode 69,18.73,True Crime,67.76,Tuesday,Evening,,3.0,Neutral,7.06218
2339,Brain Boost,Episode 75,,Education,69.43,Sunday,Evening,1.23,3.0,Negative,15.99495
2340,Criminal Minds,Episode 99,25.02,True Crime,96.7,Friday,Night,25.48,2.0,Positive,21.43695
2341,Fashion Forward,Episode 84,99.24,Lifestyle,91.16,Sunday,Night,,1.0,Positive,76.69242
2342,Gadget Geek,Episode 78,,Technology,87.58,Monday,Morning,60.97,0.0,Neutral,90.31497
2343,True Crime Stories,Episode 62,6.46,True Crime,37.41,Tuesday,Morning,79.19,2.0,Positive,1.46471
2344,Digital Digest,Episode 8,107.98,Technology,56.29,Thursday,Night,81.31,0.0,Neutral,52.93637
2345,Melody Mix,Episode 88,107.4,Music,24.52,Sunday,Night,,1.0,Positive,57.86505
2346,Current Affairs,Episode 6,57.61,News,22.17,Monday,Afternoon,48.32,1.0,Positive,54.20929
2347,Funny Folks,Episode 66,12.19,Comedy,43.88,Wednesday,Evening,35.53,1.0,Positive,4.65185
2348,Life Lessons,Episode 98,19.88,Lifestyle,27.98,Friday,Evening,22.12,1.0,Negative,10.2613
